stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\hguan\Desktop\final_project_ori\TowerGame\bin\Debug\allegro5.cfg r
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
audio-dsound I           dsound.cpp:271  _dsound_open                     [   0.00015] Starting DirectSound...
audio-dsound D           dsound.cpp:280  _dsound_open                     [   0.02592] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:73   get_window                       [   0.02597] Using desktop window: 0000000000010010
audio    I              audio.c:347  do_install_audio                 [   0.02604] Using DirectSound driver
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   0.02609] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   0.02610] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.02612] added dtor for voice 00000264e8783f50, func 00007ffe58d85024
dtor     D               dtor.c:196  _al_register_destructor          [   0.02613] added dtor for mixer 00000264e6fcbf20, func 00007ffe58d804dc
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   0.02615] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   0.02616] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   0.02727] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   0.02730] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   0.02734] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.02744] added dtor for queue 00000264e8791b20, func 00007ffe58c7c5dc
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.02766] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0.02768] Calling LoadLibrary C:\Windows\system32\d3d9.dll
